                   frame  Start Frame
    0.840 ms   498 cook  Forcing nodes to cook at start of frame
    0.008 ms       misc   OP_GlobalTouchIn
    0.007 ms       misc   Network Message Check /renderClient/stypeIn/udpin2 (DAT:udpin)
    0.004 ms       misc   Network Message Check /renderClient/videoIO/container_performance_graph_v2/base_analysis/oscin1 (DAT:oscin)
    0.003 ms       misc   Network Message Check /renderClient/videoIO/container_performance_graph_v2/base_analysis/oscout1 (DAT:oscout)
    0.003 ms       misc   Network Message Check /renderClient/serverCtrl/touchin1 (DAT:touchin)
    0.002 ms       misc   Network Message Check /renderClient/serverCtrl/touchin2 (DAT:touchin)
    0.066 ms       misc   Network Message Check /renderClient/serverCtrl/touchin3 (DAT:touchin)
    0.733 ms       cook    Propagating changes to other nodes /renderClient/serverCtrl/touchin3 (DAT:touchin)
    0.006 ms  190686 cook      /local/time/clock (CHOP:null)
    0.015 ms  190686 cook       /local/time/scrubber (CHOP:switch)
    0.015 ms  190686 cook        /local/time/independent (CHOP:switch)
    0.040 ms  190686 cook         /local/time/cframe (CHOP:speed)
    0.028 ms  299693 cook      /renderClient/scenes/scene9/gauges/q1/gaugeVals/logic1 (CHOP:logic)
    0.009 ms  147951 cook       /renderClient/scenes/scene9/gauges/q1/gaugeVals/limit4 (CHOP:limit)
    0.006 ms  147951 cook        /renderClient/scenes/scene9/gauges/q1/gaugeVals/in1 (CHOP:in)
    0.012 ms  147951 cook         /renderClient/scenes/scene9/gauges/q1/rename1 (CHOP:rename)
    0.026 ms  147951 cook          /renderClient/scenes/scene9/gauges/q1/datto1 (CHOP:datto)
    0.109 ms  147951 cook           /renderClient/scenes/scene9/gauges/q1/select1 (DAT:select)
    0.004 ms  184672 cook            /renderClient/serverCtrl/liveDataTable2 (DAT:null)
    0.015 ms  184672 cook             /renderClient/serverCtrl/select3 (DAT:select)
    0.078 ms  184674 cook             /renderClient/serverCtrl/touchin3 (DAT:touchin)
    0.022 ms  299695 cook      /renderClient/scenes/scene9/gauges/q4/gaugeVals/logic1 (CHOP:logic)
    0.007 ms  147952 cook       /renderClient/scenes/scene9/gauges/q4/gaugeVals/limit4 (CHOP:limit)
    0.004 ms  147952 cook        /renderClient/scenes/scene9/gauges/q4/gaugeVals/in1 (CHOP:in)
    0.010 ms  147952 cook         /renderClient/scenes/scene9/gauges/q4/rename1 (CHOP:rename)
    0.017 ms  147952 cook          /renderClient/scenes/scene9/gauges/q4/datto1 (CHOP:datto)
    0.070 ms  147952 cook           /renderClient/scenes/scene9/gauges/q4/select1 (DAT:select)
    0.020 ms  299695 cook      /renderClient/scenes/scene9/gauges/q3/gaugeVals/logic1 (CHOP:logic)
    0.006 ms  147952 cook       /renderClient/scenes/scene9/gauges/q3/gaugeVals/limit4 (CHOP:limit)
    0.004 ms  147952 cook        /renderClient/scenes/scene9/gauges/q3/gaugeVals/in1 (CHOP:in)
    0.009 ms  147952 cook         /renderClient/scenes/scene9/gauges/q3/rename1 (CHOP:rename)
    0.015 ms  147952 cook          /renderClient/scenes/scene9/gauges/q3/datto1 (CHOP:datto)
    0.065 ms  147952 cook           /renderClient/scenes/scene9/gauges/q3/select1 (DAT:select)
    0.019 ms  299695 cook      /renderClient/scenes/scene9/gauges/q2/gaugeVals/logic1 (CHOP:logic)
    0.006 ms  147952 cook       /renderClient/scenes/scene9/gauges/q2/gaugeVals/limit4 (CHOP:limit)
    0.004 ms  147952 cook        /renderClient/scenes/scene9/gauges/q2/gaugeVals/in1 (CHOP:in)
    0.009 ms  147952 cook         /renderClient/scenes/scene9/gauges/q2/rename1 (CHOP:rename)
